State(1000, [3.0, -2.0, 8.0], Array{Float64}[[0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
319,C,C3,i3,3.0
320,C,C2,i2,3.0
321,C,C3,i2,3.0
322,C,C1,i1,5.5
323,C,C2,i3,3.0
324,C,C1,i1,5.5
325,C,C1,i3,5.5
326,C,C1,i1,5.5
327,C,C3,i3,3.0
328,C,C1,i1,5.5
329,C,C2,i2,3.0
330,C,C2,i3,3.0
331,C,C1,i3,5.5
332,C,C1,i3,5.5
333,C,C1,i1,5.5
334,C,C2,i3,3.0
335,C,C2,i3,3.0
336,C,C1,i3,5.5
337,C,C2,i3,3.0
338,C,C3,i3,3.0
339,C,C2,i2,3.0
340,C,C3,i2,3.0
341,C,C1,i1,5.5
342,C,C2,i3,3.0
343,C,C1,i1,5.5
344,C,C1,i3,5.5
345,C,C1,i1,5.5
346,C,C3,i3,3.0
347,C,C1,i1,5.5
348,C,C2,i2,3.0
349,C,C2,i3,3.0
350,C,C1,i3,5.5
351,C,C1,i3,5.5
352,C,C1,i1,5.5
353,C,C2,i3,3.0
354,C,C2,i3,3.0
355,C,C1,i3,5.5
356,C,C2,i3,3.0
357,C,C3,i3,3.0
358,C,C2,i2,3.0
359,C,C3,i2,3.0
360,C,C1,i1,5.5
361,C,C2,i3,3.0
362,C,C1,i1,5.5
363,C,C1,i3,5.5
364,C,C1,i1,5.5
365,C,C3,i3,3.0
366,C,C1,i1,5.5
367,C,C2,i2,3.0
368,C,C2,i3,3.0
369,C,C1,i3,5.5
370,C,C1,i3,5.5
371,C,C1,i1,5.5
372,C,C2,i3,3.0
373,C,C2,i3,3.0
374,C,C1,i3,5.5
375,C,C2,i3,3.0
376,C,C3,i3,3.0
377,C,C2,i2,3.0
378,C,C3,i2,3.0
379,C,C1,i1,5.5
380,C,C2,i3,3.0
381,C,C1,i1,5.5
382,C,C1,i3,5.5
383,C,C1,i1,5.5
384,C,C3,i3,3.0
385,C,C1,i1,5.5
386,C,C2,i2,3.0
387,C,C2,i3,3.0
388,C,C1,i3,5.5
389,C,C1,i3,5.5
390,C,C1,i1,5.5
391,C,C2,i3,3.0
392,C,C2,i3,3.0
393,C,C1,i3,5.5
394,C,C2,i3,3.0
395,C,C3,i3,3.0
396,C,C2,i2,3.0
397,C,C3,i2,3.0
398,C,C1,i1,5.5
399,C,C2,i3,3.0
400,C,C1,i1,5.5
401,C,C1,i3,5.5
402,C,C1,i1,5.5
403,C,C3,i3,3.0
404,C,C1,i1,5.5
405,C,C2,i2,3.0
406,C,C2,i3,3.0
407,C,C1,i3,5.5
408,C,C1,i3,5.5
409,C,C1,i1,5.5
410,C,C2,i3,3.0
411,C,C2,i3,3.0
412,C,C1,i3,5.5
413,C,C2,i3,3.0
414,C,C3,i3,3.0
415,C,C2,i2,3.0
416,C,C3,i2,3.0
417,C,C1,i1,5.5
418,C,C2,i3,3.0
419,C,C1,i1,5.5
420,C,C1,i3,5.5
421,C,C1,i1,5.5
422,C,C3,i3,3.0
423,C,C1,i1,5.5
424,C,C2,i2,3.0
425,C,C2,i3,3.0
426,C,C1,i3,5.5
427,C,C1,i3,5.5
428,C,C1,i1,5.5
429,C,C2,i3,3.0
430,C,C2,i3,3.0
431,C,C1,i3,5.5
432,C,C2,i3,3.0
433,C,C3,i3,3.0
434,C,C2,i2,3.0
435,C,C3,i2,3.0
436,C,C1,i1,5.5
437,C,C2,i3,3.0
438,C,C1,i1,5.5
439,C,C1,i3,5.5
440,C,C1,i1,5.5
441,C,C3,i3,3.0
442,C,C1,i1,5.5
443,C,C2,i2,3.0
444,C,C2,i3,3.0
445,C,C1,i3,5.5
446,C,C1,i3,5.5
447,C,C1,i1,5.5
448,C,C2,i3,3.0
449,C,C2,i3,3.0
450,C,C1,i3,5.5
451,C,C2,i3,3.0
452,C,C3,i3,3.0
453,C,C2,i2,3.0
454,C,C3,i2,3.0
455,C,C1,i1,5.5
456,C,C2,i3,3.0
457,C,C1,i1,5.5
458,C,C1,i3,5.5
459,C,C1,i1,5.5
460,C,C3,i3,3.0
461,C,C1,i1,5.5
462,C,C2,i2,3.0
463,C,C2,i3,3.0
464,C,C1,i3,5.5
465,C,C1,i3,5.5
466,C,C1,i1,5.5
467,C,C2,i3,3.0
468,C,C2,i3,3.0
469,C,C1,i3,5.5
470,C,C2,i3,3.0
471,C,C3,i3,3.0
472,C,C2,i2,3.0
473,C,C3,i2,3.0
474,C,C1,i1,5.5
475,C,C2,i3,3.0
476,C,C1,i1,5.5
477,C,C1,i3,5.5
478,C,C1,i1,5.5
479,C,C3,i3,3.0
480,C,C1,i1,5.5
481,C,C2,i2,3.0
482,C,C2,i3,3.0
483,C,C1,i3,5.5
484,C,C1,i3,5.5
485,C,C1,i1,5.5
486,C,C2,i3,3.0
487,C,C2,i3,3.0
488,C,C1,i3,5.5
489,C,C2,i3,3.0
490,C,C3,i3,3.0
491,C,C2,i2,3.0
492,C,C3,i2,3.0
493,C,C1,i1,5.5
494,C,C2,i3,3.0
495,C,C1,i1,5.5
496,C,C1,i3,5.5
497,C,C1,i1,5.5
498,C,C3,i3,3.0
499,C,C1,i1,5.5
500,C,C2,i2,3.0
501,C,C2,i3,3.0
502,C,C1,i3,5.5
503,C,C1,i3,5.5
504,C,C1,i1,5.5
505,C,C2,i3,3.0
506,C,C2,i3,3.0
507,C,C1,i3,5.5
508,C,C2,i3,3.0
509,C,C3,i3,3.0
510,C,C2,i2,3.0
511,C,C3,i2,3.0
512,C,C1,i1,5.5
513,C,C2,i3,3.0
514,C,C1,i1,5.5
515,C,C1,i3,5.5
516,C,C1,i1,5.5
517,C,C3,i3,3.0
518,C,C1,i1,5.5
519,C,C2,i2,3.0
520,C,C2,i3,3.0
521,C,C1,i3,5.5
522,C,C1,i3,5.5
523,C,C1,i1,5.5
524,C,C2,i3,3.0
525,C,C2,i3,3.0
526,C,C1,i3,5.5
527,C,C2,i3,3.0
528,C,C3,i3,3.0
529,C,C2,i2,3.0
530,C,C3,i2,3.0
531,C,C1,i1,5.5
532,C,C2,i3,3.0
533,C,C1,i1,5.5
534,C,C1,i3,5.5
535,C,C1,i1,5.5
536,C,C3,i3,3.0
537,C,C1,i1,5.5
538,C,C2,i2,3.0
539,C,C2,i3,3.0
540,C,C1,i3,5.5
541,C,C1,i3,5.5
542,C,C1,i1,5.5
543,C,C2,i3,3.0
544,C,C2,i3,3.0
545,C,C1,i3,5.5
546,C,C2,i3,3.0
547,C,C3,i3,3.0
548,C,C2,i2,3.0
549,C,C3,i2,3.0
550,C,C1,i1,5.5
551,C,C2,i3,3.0
552,C,C1,i1,5.5
553,C,C1,i3,5.5
554,C,C1,i1,5.5
555,C,C3,i3,3.0
556,C,C1,i1,5.5
557,C,C2,i2,3.0
558,C,C2,i3,3.0
559,C,C1,i3,5.5
560,C,C1,i3,5.5
561,C,C1,i1,5.5
562,C,C2,i3,3.0
563,C,C2,i3,3.0
564,C,C1,i3,5.5
565,C,C2,i3,3.0
566,C,C3,i3,3.0
567,C,C2,i2,3.0
568,C,C3,i2,3.0
569,C,C1,i1,5.5
570,C,C2,i3,3.0
571,C,C1,i1,5.5
572,C,C1,i3,5.5
573,C,C1,i1,5.5
574,C,C3,i3,3.0
575,C,C1,i1,5.5
576,C,C2,i2,3.0
577,C,C2,i3,3.0
578,C,C1,i3,5.5
579,C,C1,i3,5.5
580,C,C1,i1,5.5
581,C,C2,i3,3.0
582,C,C2,i3,3.0
583,C,C1,i3,5.5
584,C,C2,i3,3.0
585,C,C3,i3,3.0
586,C,C2,i2,3.0
587,C,C3,i2,3.0
588,C,C1,i1,5.5
589,C,C2,i3,3.0
590,C,C1,i1,5.5
591,C,C1,i3,5.5
592,C,C1,i1,5.5
593,C,C3,i3,3.0
594,C,C1,i1,5.5
595,C,C2,i2,3.0
596,C,C2,i3,3.0
597,C,C1,i3,5.5
598,C,C1,i3,5.5
599,C,C1,i1,5.5
600,C,C2,i3,3.0
601,C,C2,i3,3.0
602,C,C1,i3,5.5
603,C,C2,i3,3.0
604,C,C3,i3,3.0
605,C,C2,i2,3.0
606,C,C3,i2,3.0
607,C,C1,i1,5.5
608,C,C2,i3,3.0
609,C,C1,i1,5.5
610,C,C1,i3,5.5
611,C,C1,i1,5.5
612,C,C3,i3,3.0
613,C,C1,i1,5.5
614,C,C2,i2,3.0
615,C,C2,i3,3.0
616,C,C1,i3,5.5
617,C,C1,i3,5.5
618,C,C1,i1,5.5
619,C,C2,i3,3.0
620,C,C2,i3,3.0
621,C,C1,i3,5.5
622,C,C2,i3,3.0
623,C,C3,i3,3.0
624,C,C2,i2,3.0
625,C,C3,i2,3.0
626,C,C1,i1,5.5
627,C,C2,i3,3.0
628,C,C1,i1,5.5
629,C,C1,i3,5.5
630,C,C1,i1,5.5
631,C,C3,i3,3.0
632,C,C1,i1,5.5
633,C,C2,i2,3.0
634,C,C2,i3,3.0
635,C,C1,i3,5.5
636,C,C1,i3,5.5
637,C,C1,i1,5.5
638,C,C2,i3,3.0
639,C,C2,i3,3.0
640,C,C1,i3,5.5
641,C,C2,i3,3.0
642,C,C3,i3,3.0
643,C,C2,i2,3.0
644,C,C3,i2,3.0
645,C,C1,i1,5.5
646,C,C2,i3,3.0
647,C,C1,i1,5.5
648,C,C1,i3,5.5
649,C,C1,i1,5.5
650,C,C3,i3,3.0
651,C,C1,i1,5.5
652,C,C2,i2,3.0
653,C,C2,i3,3.0
654,C,C1,i3,5.5
655,C,C1,i3,5.5
656,C,C1,i1,5.5
657,C,C2,i3,3.0
658,C,C2,i3,3.0
659,C,C1,i3,5.5
660,C,C2,i3,3.0
661,C,C3,i3,3.0
662,C,C2,i2,3.0
663,C,C3,i2,3.0
664,C,C1,i1,5.5
665,C,C2,i3,3.0
666,C,C1,i1,5.5
667,C,C1,i3,5.5
668,C,C1,i1,5.5
669,C,C3,i3,3.0
670,C,C1,i1,5.5
671,C,C2,i2,3.0
672,C,C2,i3,3.0
673,C,C1,i3,5.5
674,C,C1,i3,5.5
675,C,C1,i1,5.5
676,C,C2,i3,3.0
677,C,C2,i3,3.0
678,C,C1,i3,5.5
679,C,C2,i3,3.0
680,C,C3,i3,3.0
681,C,C2,i2,3.0
682,C,C3,i2,3.0
683,C,C1,i1,5.5
684,C,C2,i3,3.0
685,C,C1,i1,5.5
686,C,C1,i3,5.5
687,C,C1,i1,5.5
688,C,C3,i3,3.0
689,C,C1,i1,5.5
690,C,C2,i2,3.0
691,C,C2,i3,3.0
692,C,C1,i3,5.5
693,C,C1,i3,5.5
694,C,C1,i1,5.5
695,C,C2,i3,3.0
696,C,C2,i3,3.0
697,C,C1,i3,5.5
698,C,C2,i3,3.0
699,C,C3,i3,3.0
700,C,C2,i2,3.0
701,C,C3,i2,3.0
702,C,C1,i1,5.5
703,C,C2,i3,3.0
704,C,C1,i1,5.5
705,C,C1,i3,5.5
706,C,C1,i1,5.5
707,C,C3,i3,3.0
708,C,C1,i1,5.5
709,C,C2,i2,3.0
710,C,C2,i3,3.0
711,C,C1,i3,5.5
712,C,C1,i3,5.5
713,C,C1,i1,5.5
714,C,C2,i3,3.0
715,C,C2,i3,3.0
716,C,C1,i3,5.5
717,C,C2,i3,3.0
718,C,C3,i3,3.0
719,C,C2,i2,3.0
720,C,C3,i2,3.0
721,C,C1,i1,5.5
722,C,C2,i3,3.0
723,C,C1,i1,5.5
724,C,C1,i3,5.5
725,C,C1,i1,5.5
726,C,C3,i3,3.0
727,C,C1,i1,5.5
728,C,C2,i2,3.0
729,C,C2,i3,3.0
730,C,C1,i3,5.5
731,C,C1,i3,5.5
732,C,C1,i1,5.5
733,C,C2,i3,3.0
734,C,C2,i3,3.0
735,C,C1,i3,5.5
736,C,C2,i3,3.0
737,C,C3,i3,3.0
738,C,C2,i2,3.0
739,C,C3,i2,3.0
740,C,C1,i1,5.5
741,C,C2,i3,3.0
742,C,C1,i1,5.5
743,C,C1,i3,5.5
744,C,C1,i1,5.5
745,C,C3,i3,3.0
746,C,C1,i1,5.5
747,C,C2,i2,3.0
748,C,C2,i3,3.0
749,C,C1,i3,5.5
750,C,C1,i3,5.5
751,C,C1,i1,5.5
752,C,C2,i3,3.0
753,C,C2,i3,3.0
754,C,C1,i3,5.5
755,C,C2,i3,3.0
756,C,C3,i3,3.0
757,C,C2,i2,3.0
758,C,C3,i2,3.0
759,C,C1,i1,5.5
760,C,C2,i3,3.0
761,C,C1,i1,5.5
762,C,C1,i3,5.5
763,C,C1,i1,5.5
764,C,C3,i3,3.0
765,C,C1,i1,5.5
766,C,C2,i2,3.0
767,C,C2,i3,3.0
768,C,C1,i3,5.5
769,C,C1,i3,5.5
770,C,C1,i1,5.5
771,C,C2,i3,3.0
772,C,C2,i3,3.0
773,C,C1,i3,5.5
774,C,C2,i3,3.0
775,C,C3,i3,3.0
776,C,C2,i2,3.0
777,C,C3,i2,3.0
778,C,C1,i1,5.5
779,C,C2,i3,3.0
