State(1000, [3.0, -2.0, 3.0], Array{Float64}[[0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
394,C,C2,i1,0.5
395,C,C3,i3,0.5
396,C,C3,i3,0.5
397,C,C2,i2,0.5
398,C,C1,i3,3.0
399,C,C3,i2,0.5
400,C,C1,i1,3.0
401,C,C1,i3,3.0
402,C,C3,i3,0.5
403,C,C3,i2,0.5
404,C,C3,i3,0.5
405,C,C1,i3,3.0
406,C,C3,i2,0.5
407,C,C3,i3,0.5
408,C,C3,i2,0.5
409,C,C1,i1,3.0
410,C,C3,i2,0.5
411,C,C3,i2,0.5
412,C,C3,i2,0.5
413,C,C1,i1,3.0
414,C,C3,i2,0.5
415,C,C1,i3,3.0
416,C,C1,i3,3.0
417,C,C1,i1,3.0
418,C,C1,i3,3.0
419,B,B2,(i1-i3;0),0
420,C,C1,i1,3.0
421,B,B2,(i3-i2;0),0
422,C,C1,i1,3.0
423,C,C1,i3,3.0
424,C,C1,i3,3.0
425,C,C3,i3,0.5
426,C,C1,i1,3.0
427,C,C3,i2,0.5
428,C,C1,i1,3.0
429,C,C1,i1,3.0
430,C,C1,i3,3.0
431,C,C1,i3,3.0
432,C,C3,i3,0.5
433,C,C3,i2,0.5
434,C,C1,i1,3.0
435,C,C1,i1,3.0
436,C,C3,i2,0.5
437,C,C1,i1,3.0
438,C,C1,i1,3.0
439,C,C1,i3,3.0
440,C,C3,i3,0.5
441,C,C1,i1,3.0
442,C,C1,i1,3.0
443,C,C2,i2,0.5
444,C,C1,i3,3.0
445,C,C3,i2,0.5
446,C,C1,i1,3.0
447,C,C1,i1,3.0
448,C,C3,i3,0.5
449,C,C3,i3,0.5
450,C,C3,i3,0.5
451,C,C3,i2,0.5
452,C,C3,i3,0.5
453,C,C3,i3,0.5
454,C,C3,i3,0.5
455,C,C3,i3,0.5
456,C,C1,i1,3.0
457,C,C3,i2,0.5
458,C,C1,i3,3.0
459,C,C1,i3,3.0
460,C,C1,i1,3.0
461,C,C3,i2,0.5
462,C,C1,i3,3.0
463,C,C1,i1,3.0
464,C,C3,i3,0.5
465,C,C1,i3,3.0
466,C,C3,i3,0.5
467,C,C1,i1,3.0
468,C,C3,i3,0.5
469,C,C3,i2,0.5
470,C,C3,i2,0.5
471,C,C1,i3,3.0
472,C,C1,i1,3.0
473,C,C3,i3,0.5
474,C,C1,i3,3.0
475,C,C3,i2,0.5
476,C,C3,i2,0.5
477,C,C1,i1,3.0
478,C,C3,i3,0.5
479,C,C3,i3,0.5
480,C,C3,i3,0.5
481,C,C3,i3,0.5
482,C,C3,i3,0.5
483,C,C3,i2,0.5
484,C,C3,i3,0.5
485,C,C1,i1,3.0
486,C,C1,i1,3.0
487,C,C1,i1,3.0
488,C,C1,i3,3.0
489,C,C1,i1,3.0
490,C,C1,i3,3.0
491,C,C3,i3,0.5
492,C,C1,i1,3.0
493,C,C3,i2,0.5
494,C,C3,i3,0.5
495,C,C1,i3,3.0
496,C,C1,i1,3.0
497,C,C3,i2,0.5
498,C,C1,i1,3.0
499,C,C3,i3,0.5
500,B,B3,(i2-i3;1),0
501,C,C3,i2,0.5
502,C,C1,i1,3.0
503,C,C3,i3,0.5
504,C,C3,i3,0.5
505,C,C3,i3,0.5
506,C,C1,i1,3.0
507,C,C3,i2,0.5
508,C,C1,i1,3.0
509,C,C1,i1,3.0
510,C,C1,i1,3.0
511,C,C1,i1,3.0
512,C,C1,i3,3.0
513,C,C3,i3,0.5
514,C,C1,i1,3.0
515,C,C3,i2,0.5
516,C,C1,i1,3.0
517,C,C3,i2,0.5
518,C,C3,i2,0.5
519,C,C1,i1,3.0
520,C,C3,i2,0.5
521,C,C3,i3,0.5
522,C,C1,i1,3.0
523,C,C3,i2,0.5
524,C,C1,i1,3.0
525,C,C1,i1,3.0
526,C,C3,i3,0.5
527,C,C3,i2,0.5
528,C,C1,i3,3.0
529,C,C1,i3,3.0
530,C,C1,i3,3.0
531,C,C1,i3,3.0
532,C,C3,i3,0.5
533,C,C3,i3,0.5
534,C,C3,i2,0.5
535,C,C1,i1,3.0
536,C,C1,i1,3.0
537,C,C1,i1,3.0
538,C,C1,i1,3.0
539,C,C1,i3,3.0
540,C,C3,i3,0.5
541,C,C3,i2,0.5
542,C,C2,i1,0.5
543,C,C1,i3,3.0
544,C,C1,i3,3.0
545,C,C1,i3,3.0
546,C,C3,i3,0.5
547,C,C3,i3,0.5
548,C,C3,i2,0.5
549,C,C3,i2,0.5
550,C,C3,i3,0.5
551,C,C3,i2,0.5
552,C,C1,i1,3.0
553,C,C1,i3,3.0
554,C,C1,i1,3.0
555,C,C1,i1,3.0
556,C,C3,i2,0.5
557,C,C1,i1,3.0
558,C,C3,i3,0.5
559,C,C3,i3,0.5
560,C,C3,i2,0.5
561,C,C1,i1,3.0
562,C,C1,i1,3.0
563,C,C1,i1,3.0
564,C,C3,i2,0.5
565,C,C1,i3,3.0
566,C,C3,i3,0.5
567,C,C3,i2,0.5
568,C,C1,i1,3.0
569,C,C1,i3,3.0
570,C,C1,i1,3.0
571,C,C3,i2,0.5
572,C,C3,i3,0.5
573,C,C1,i3,3.0
574,C,C1,i1,3.0
575,C,C3,i3,0.5
576,C,C1,i1,3.0
577,C,C3,i2,0.5
578,C,C1,i3,3.0
579,C,C1,i3,3.0
580,C,C3,i3,0.5
581,C,C3,i2,0.5
582,C,C1,i3,3.0
583,C,C3,i3,0.5
584,C,C1,i1,3.0
585,C,C3,i2,0.5
586,C,C3,i3,0.5
587,C,C3,i3,0.5
588,C,C3,i3,0.5
589,C,C3,i2,0.5
590,C,C1,i1,3.0
591,C,C3,i3,0.5
592,C,C3,i3,0.5
593,C,C3,i3,0.5
594,C,C1,i1,3.0
595,C,C1,i1,3.0
596,C,C1,i1,3.0
597,C,C1,i3,3.0
598,C,C3,i2,0.5
599,C,C3,i3,0.5
600,C,C1,i1,3.0
601,C,C3,i2,0.5
602,C,C3,i2,0.5
603,C,C3,i3,0.5
604,C,C1,i3,3.0
605,C,C3,i2,0.5
606,C,C3,i3,0.5
607,C,C3,i2,0.5
608,C,C3,i2,0.5
609,C,C3,i2,0.5
610,C,C1,i1,3.0
611,C,C3,i2,0.5
612,C,C3,i3,0.5
613,C,C3,i3,0.5
614,C,C3,i2,0.5
615,C,C1,i1,3.0
616,C,C3,i2,0.5
617,C,C1,i3,3.0
618,C,C1,i1,3.0
619,C,C1,i1,3.0
620,C,C1,i1,3.0
621,C,C1,i3,3.0
622,C,C1,i3,3.0
623,C,C1,i3,3.0
624,C,C1,i3,3.0
625,C,C3,i2,0.5
626,C,C3,i3,0.5
627,C,C3,i2,0.5
628,C,C1,i1,3.0
629,C,C3,i3,0.5
630,C,C3,i2,0.5
631,C,C1,i1,3.0
632,C,C3,i3,0.5
633,C,C1,i3,3.0
634,C,C1,i3,3.0
635,C,C1,i3,3.0
636,C,C1,i1,3.0
637,C,C3,i2,0.5
638,C,C1,i3,3.0
639,C,C1,i1,3.0
640,C,C1,i1,3.0
641,C,C3,i3,0.5
642,C,C3,i3,0.5
643,C,C3,i2,0.5
644,C,C3,i3,0.5
645,C,C3,i2,0.5
646,C,C3,i2,0.5
647,C,C3,i2,0.5
648,C,C3,i2,0.5
649,C,C1,i3,3.0
650,C,C1,i1,3.0
651,C,C3,i3,0.5
652,C,C3,i2,0.5
653,C,C1,i1,3.0
654,C,C1,i1,3.0
655,C,C3,i2,0.5
656,C,C1,i3,3.0
657,C,C1,i3,3.0
658,C,C1,i3,3.0
659,C,C1,i3,3.0
660,C,C1,i3,3.0
661,C,C1,i3,3.0
662,C,C3,i2,0.5
663,C,C3,i3,0.5
664,C,C3,i3,0.5
665,C,C3,i3,0.5
666,C,C3,i2,0.5
667,C,C3,i2,0.5
668,C,C3,i3,0.5
669,C,C1,i3,3.0
670,C,C1,i3,3.0
671,C,C3,i3,0.5
672,C,C3,i2,0.5
673,C,C1,i1,3.0
674,C,C1,i3,3.0
675,C,C3,i3,0.5
676,C,C3,i3,0.5
677,C,C3,i2,0.5
678,C,C1,i3,3.0
679,C,C3,i2,0.5
680,C,C1,i1,3.0
681,C,C3,i3,0.5
682,C,C1,i1,3.0
683,C,C1,i3,3.0
684,C,C3,i3,0.5
685,C,C1,i3,3.0
686,C,C3,i2,0.5
687,C,C3,i3,0.5
688,C,C1,i3,3.0
689,C,C3,i2,0.5
690,C,C1,i1,3.0
691,C,C3,i3,0.5
692,C,C1,i3,3.0
693,C,C3,i2,0.5
694,C,C1,i1,3.0
695,C,C3,i2,0.5
696,C,C1,i1,3.0
697,C,C3,i2,0.5
698,C,C1,i3,3.0
699,C,C3,i3,0.5
700,C,C3,i2,0.5
701,C,C3,i2,0.5
702,C,C1,i1,3.0
703,C,C1,i1,3.0
704,C,C1,i3,3.0
705,C,C1,i1,3.0
706,C,C1,i1,3.0
707,C,C3,i2,0.5
708,C,C1,i1,3.0
709,C,C1,i1,3.0
710,C,C3,i2,0.5
711,C,C3,i2,0.5
712,C,C3,i3,0.5
713,C,C3,i3,0.5
714,C,C3,i3,0.5
715,C,C3,i2,0.5
716,C,C3,i3,0.5
717,C,C3,i3,0.5
718,C,C1,i3,3.0
719,C,C3,i3,0.5
720,C,C1,i1,3.0
721,C,C3,i2,0.5
722,C,C3,i3,0.5
723,C,C3,i3,0.5
724,C,C3,i2,0.5
725,C,C3,i3,0.5
726,C,C3,i2,0.5
727,C,C3,i3,0.5
728,C,C1,i1,3.0
729,C,C3,i3,0.5
730,C,C1,i1,3.0
731,C,C1,i1,3.0
732,C,C1,i3,3.0
733,C,C3,i3,0.5
734,C,C1,i1,3.0
735,C,C1,i1,3.0
736,C,C1,i3,3.0
737,C,C3,i3,0.5
738,C,C1,i3,3.0
739,C,C1,i1,3.0
740,C,C3,i2,0.5
741,C,C3,i3,0.5
742,C,C3,i3,0.5
743,C,C1,i3,3.0
744,C,C3,i2,0.5
745,C,C3,i3,0.5
746,C,C3,i2,0.5
747,C,C1,i1,3.0
748,C,C2,i2,0.5
749,C,C1,i3,3.0
750,C,C1,i3,3.0
751,C,C1,i1,3.0
752,C,C1,i1,3.0
753,C,C3,i2,0.5
754,C,C3,i3,0.5
755,C,C1,i1,3.0
756,C,C1,i1,3.0
757,C,C3,i3,0.5
758,C,C1,i1,3.0
759,C,C3,i3,0.5
760,C,C3,i3,0.5
761,C,C3,i3,0.5
762,C,C3,i3,0.5
763,C,C3,i2,0.5
764,C,C3,i2,0.5
765,C,C1,i1,3.0
766,C,C3,i3,0.5
767,C,C3,i3,0.5
768,C,C1,i1,3.0
769,C,C1,i3,3.0
770,C,C3,i3,0.5
771,C,C1,i1,3.0
