State(1000, [8.0, 3.0, -2.0], Array{Float64}[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
610,C,C3,i2,0.5
611,C,C2,i3,3.0
612,C,C1,i1,5.5
613,C,C2,i1,3.0
614,C,C2,i3,3.0
615,C,C1,i2,5.5
616,C,C2,i3,3.0
617,C,C1,i2,5.5
618,C,C1,i2,5.5
619,C,C1,i1,5.5
620,C,C1,i1,5.5
621,C,C3,i2,0.5
622,C,C2,i3,3.0
623,C,C1,i1,5.5
624,C,C2,i1,3.0
625,C,C2,i3,3.0
626,C,C1,i2,5.5
627,C,C2,i3,3.0
628,C,C1,i2,5.5
629,C,C1,i2,5.5
630,C,C1,i1,5.5
631,C,C1,i1,5.5
632,C,C3,i2,0.5
633,C,C2,i3,3.0
634,C,C1,i1,5.5
635,C,C2,i1,3.0
636,C,C2,i3,3.0
637,C,C1,i2,5.5
638,C,C2,i3,3.0
639,C,C1,i2,5.5
640,C,C1,i2,5.5
641,C,C1,i1,5.5
642,C,C1,i1,5.5
643,C,C3,i2,0.5
644,C,C2,i3,3.0
645,C,C1,i1,5.5
646,C,C2,i1,3.0
647,C,C2,i3,3.0
648,C,C1,i2,5.5
649,C,C2,i3,3.0
650,C,C1,i2,5.5
651,C,C1,i2,5.5
652,C,C1,i1,5.5
653,C,C1,i1,5.5
654,C,C3,i2,0.5
655,C,C2,i3,3.0
656,C,C1,i1,5.5
657,C,C2,i1,3.0
658,C,C2,i3,3.0
659,C,C1,i2,5.5
660,C,C2,i3,3.0
661,C,C1,i2,5.5
662,C,C1,i2,5.5
663,C,C1,i1,5.5
664,C,C1,i1,5.5
665,C,C3,i2,0.5
666,C,C2,i3,3.0
667,C,C1,i1,5.5
668,C,C2,i1,3.0
669,C,C2,i3,3.0
670,C,C1,i2,5.5
671,C,C2,i3,3.0
672,C,C1,i2,5.5
673,C,C1,i2,5.5
674,C,C1,i1,5.5
675,C,C1,i1,5.5
676,C,C3,i2,0.5
677,C,C2,i3,3.0
678,C,C1,i1,5.5
679,C,C2,i1,3.0
680,C,C2,i3,3.0
681,C,C1,i2,5.5
682,C,C2,i3,3.0
683,C,C1,i2,5.5
684,C,C1,i2,5.5
685,C,C1,i1,5.5
686,C,C1,i1,5.5
687,C,C3,i2,0.5
688,C,C2,i3,3.0
689,C,C1,i1,5.5
690,C,C2,i1,3.0
691,C,C2,i3,3.0
692,C,C1,i2,5.5
693,C,C2,i3,3.0
694,C,C1,i2,5.5
695,C,C1,i2,5.5
696,C,C1,i1,5.5
697,C,C1,i1,5.5
698,C,C3,i2,0.5
699,C,C2,i3,3.0
700,C,C1,i1,5.5
701,C,C2,i1,3.0
702,C,C2,i3,3.0
703,C,C1,i2,5.5
704,C,C2,i3,3.0
705,C,C1,i2,5.5
