State(1000, [3.0, 8.0, 8.0], Array{Float64}[[0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.0]], [0.0, 0.01, 50.0])
459,C,C1,i3,8.0
460,C,C1,i3,8.0
461,C,C1,i3,8.0
462,C,C3,i2,5.5
463,C,C3,i1,5.5
464,C,C1,i3,8.0
465,C,C1,i3,8.0
466,C,C1,i3,8.0
467,C,C3,i2,5.5
468,C,C3,i1,5.5
469,C,C1,i3,8.0
470,C,C1,i3,8.0
471,C,C1,i3,8.0
472,C,C3,i2,5.5
473,C,C3,i1,5.5
474,C,C1,i3,8.0
475,C,C1,i3,8.0
476,C,C1,i3,8.0
477,C,C3,i2,5.5
478,C,C3,i1,5.5
479,C,C1,i3,8.0
480,C,C1,i3,8.0
481,C,C1,i3,8.0
482,C,C3,i2,5.5
483,C,C3,i1,5.5
484,C,C1,i3,8.0
485,C,C1,i3,8.0
486,C,C1,i3,8.0
487,C,C3,i2,5.5
488,C,C3,i1,5.5
489,C,C1,i3,8.0
490,C,C1,i3,8.0
491,C,C1,i3,8.0
492,C,C3,i2,5.5
493,C,C3,i1,5.5
494,C,C1,i3,8.0
495,C,C1,i3,8.0
496,C,C1,i3,8.0
497,C,C3,i2,5.5
498,C,C3,i1,5.5
499,C,C1,i3,8.0
500,C,C1,i3,8.0
501,C,C1,i3,8.0
502,C,C3,i2,5.5
503,C,C3,i1,5.5
504,C,C1,i3,8.0
505,C,C1,i3,8.0
506,C,C1,i3,8.0
507,C,C3,i2,5.5
508,C,C3,i1,5.5
509,C,C1,i3,8.0
510,C,C1,i3,8.0
511,C,C1,i3,8.0
512,C,C3,i2,5.5
513,C,C3,i1,5.5
514,C,C1,i3,8.0
515,C,C1,i3,8.0
516,C,C1,i3,8.0
517,C,C3,i2,5.5
518,C,C3,i1,5.5
519,C,C1,i3,8.0
520,C,C1,i3,8.0
521,C,C1,i3,8.0
522,C,C3,i2,5.5
523,C,C3,i1,5.5
524,C,C1,i3,8.0
525,C,C1,i3,8.0
526,C,C1,i3,8.0
527,C,C3,i2,5.5
528,C,C3,i1,5.5
529,C,C1,i3,8.0
530,C,C1,i3,8.0
531,C,C1,i3,8.0
532,C,C3,i2,5.5
533,C,C3,i1,5.5
534,C,C1,i3,8.0
535,C,C1,i3,8.0
536,C,C1,i3,8.0
537,C,C3,i2,5.5
538,C,C3,i1,5.5
539,C,C1,i3,8.0
540,C,C1,i3,8.0
541,C,C1,i3,8.0
542,C,C3,i2,5.5
543,C,C3,i1,5.5
544,C,C1,i3,8.0
545,C,C1,i3,8.0
546,C,C1,i3,8.0
547,C,C3,i2,5.5
548,C,C3,i1,5.5
549,C,C1,i3,8.0
550,C,C1,i3,8.0
551,C,C1,i3,8.0
552,C,C3,i2,5.5
553,C,C3,i1,5.5
554,C,C1,i3,8.0
555,C,C1,i3,8.0
556,C,C1,i3,8.0
557,C,C3,i2,5.5
558,C,C3,i1,5.5
559,C,C1,i3,8.0
560,C,C1,i3,8.0
561,C,C1,i3,8.0
562,C,C3,i2,5.5
563,C,C3,i1,5.5
564,C,C1,i3,8.0
565,C,C1,i3,8.0
566,C,C1,i3,8.0
567,C,C3,i2,5.5
568,C,C3,i1,5.5
569,C,C1,i3,8.0
570,C,C1,i3,8.0
571,C,C1,i3,8.0
572,C,C3,i2,5.5
573,C,C3,i1,5.5
574,C,C1,i3,8.0
575,C,C1,i3,8.0
576,C,C1,i3,8.0
577,C,C3,i2,5.5
578,C,C3,i1,5.5
579,C,C1,i3,8.0
580,C,C1,i3,8.0
581,C,C1,i3,8.0
582,C,C3,i2,5.5
583,C,C3,i1,5.5
584,C,C1,i3,8.0
585,C,C1,i3,8.0
586,C,C1,i3,8.0
587,C,C3,i2,5.5
588,C,C3,i1,5.5
589,C,C1,i3,8.0
590,C,C1,i3,8.0
591,C,C1,i3,8.0
592,C,C3,i2,5.5
593,C,C3,i1,5.5
594,C,C1,i3,8.0
595,C,C1,i3,8.0
596,C,C1,i3,8.0
597,C,C3,i2,5.5
598,C,C3,i1,5.5
599,C,C1,i3,8.0
600,C,C1,i3,8.0
601,C,C1,i3,8.0
602,C,C3,i2,5.5
603,C,C3,i1,5.5
604,C,C1,i3,8.0
605,C,C1,i3,8.0
606,C,C1,i3,8.0
607,C,C3,i2,5.5
608,C,C3,i1,5.5
609,C,C1,i3,8.0
610,C,C1,i3,8.0
611,C,C1,i3,8.0
612,C,C3,i2,5.5
613,C,C3,i1,5.5
614,C,C1,i3,8.0
615,C,C1,i3,8.0
616,C,C1,i3,8.0
617,C,C3,i2,5.5
618,C,C3,i1,5.5
619,C,C1,i3,8.0
620,C,C1,i3,8.0
621,C,C1,i3,8.0
622,C,C3,i2,5.5
623,C,C3,i1,5.5
624,C,C1,i3,8.0
625,C,C1,i3,8.0
626,C,C1,i3,8.0
627,C,C3,i2,5.5
628,C,C3,i1,5.5
629,C,C1,i3,8.0
630,C,C1,i3,8.0
631,C,C1,i3,8.0
632,C,C3,i2,5.5
633,C,C3,i1,5.5
634,C,C1,i3,8.0
635,C,C1,i3,8.0
636,C,C1,i3,8.0
637,C,C3,i2,5.5
638,C,C3,i1,5.5
639,C,C1,i3,8.0
640,C,C1,i3,8.0
641,C,C1,i3,8.0
642,C,C3,i2,5.5
643,C,C3,i1,5.5
644,C,C1,i3,8.0
645,C,C1,i3,8.0
646,C,C1,i3,8.0
647,C,C3,i2,5.5
648,C,C3,i1,5.5
649,C,C1,i3,8.0
650,C,C1,i3,8.0
651,C,C1,i3,8.0
652,C,C3,i2,5.5
653,C,C3,i1,5.5
654,C,C1,i3,8.0
655,C,C1,i3,8.0
656,C,C1,i3,8.0
657,C,C3,i2,5.5
658,C,C3,i1,5.5
659,C,C1,i3,8.0
660,C,C1,i3,8.0
661,C,C1,i3,8.0
662,C,C3,i2,5.5
663,C,C3,i1,5.5
664,C,C1,i3,8.0
665,C,C1,i3,8.0
666,C,C1,i3,8.0
667,C,C3,i2,5.5
668,C,C3,i1,5.5
669,C,C1,i3,8.0
670,C,C1,i3,8.0
671,C,C1,i3,8.0
672,C,C3,i2,5.5
673,C,C3,i1,5.5
674,C,C1,i3,8.0
675,C,C1,i3,8.0
676,C,C1,i3,8.0
677,C,C3,i2,5.5
678,C,C3,i1,5.5
679,C,C1,i3,8.0
680,C,C1,i3,8.0
681,C,C1,i3,8.0
